date,average_price,total_volume,type,year,state,region,season,price_bin,average_revenue
2015-01-04,1.54,4212.16,organic,2015,Richmond/Norfolk,Mid-Atlantic,winter,2.00,559026.8
2015-01-04,1.13,109215.0,conventional,2015,Roanoke,Southeast,winter,1.00,410194.99
2015-01-04,1.39,4414.29,organic,2015,Roanoke,Southeast,winter,2.00,504576.14
2015-01-04,1.05,430138.88,conventional,2015,Sacramento,West,winter,1.00,381154.64
2015-01-04,1.33,9213.49,organic,2015,Sacramento,West,winter,1.00,482795.87
2015-01-04,0.94,461607.33,conventional,2015,San Diego,West,winter,1.00,341224.15
2015-01-04,1.23,19089.36,organic,2015,San Diego,West,winter,1.00,446495.43
2015-01-04,0.99,907795.89,conventional,2015,San Francisco,West,winter,1.00,359374.37
2015-01-04,1.18,22630.58,organic,2015,San Francisco,West,winter,1.00,428345.21
2015-01-04,0.97,634522.34,conventional,2015,Seattle,West,winter,1.00,352114.28
2015-01-04,1.49,33795.91,organic,2015,Seattle,West,winter,2.00,540876.58
2015-01-04,1.01,309024.22,conventional,2015,South Carolina,Southeast,winter,1.00,366634.46
2015-01-04,1.86,3351.76,organic,2015,South Carolina,Southeast,winter,2.00,675188.22
2015-01-04,1.0,84612.39,conventional,2015,Spokane,West,winter,1.00,363004.42
2015-01-04,1.3,5782.7,organic,2015,Spokane,West,winter,1.00,471905.74
2015-01-04,1.15,198735.26,conventional,2015,St. Louis,Midwest,winter,1.00,417455.08
2015-01-04,1.8,3597.07,organic,2015,St. Louis,Midwest,winter,2.00,653407.95
2015-01-04,1.33,41143.51,conventional,2015,Syracuse,Northeast,winter,1.00,482795.87
2015-01-04,1.72,593.39,organic,2015,Syracuse,Northeast,winter,2.00,624367.6
2015-01-04,0.97,339909.13,conventional,2015,Tampa,Southeast,winter,1.00,352114.28
2015-01-04,1.7,1885.48,organic,2015,Tampa,Southeast,winter,2.00,617107.51
2015-01-04,0.75,758118.95,conventional,2015,West Tex/New Mexico,West,winter,1.00,272253.31
2015-01-04,1.64,6182.81,organic,2015,West Tex/New Mexico,West,winter,2.00,595327.24
2015-01-11,1.24,41195.08,conventional,2015,Albany,Northeast,winter,1.00,450125.48
2015-01-11,1.77,1182.56,organic,2015,Albany,Northeast,winter,2.00,642517.82
2015-01-11,1.11,397542.72,conventional,2015,Atlanta,Southeast,winter,1.00,402934.9
2015-01-11,1.84,3743.82,organic,2015,Atlanta,Southeast,winter,2.00,667928.13
2015-01-11,1.17,670231.94,conventional,2015,Baltimore/Washington,Mid-Atlantic,winter,1.00,424715.17
2015-01-11,1.22,26008.88,organic,2015,Baltimore/Washington,Mid-Atlantic,winter,1.00,442865.39
2015-01-11,1.18,57355.52,conventional,2015,Boise,West,winter,1.00,428345.21
2015-01-11,1.44,2378.68,organic,2015,Boise,West,winter,2.00,522726.36
2015-01-11,1.1,437771.89,conventional,2015,Boston,Northeast,winter,1.00,399304.86
2015-01-11,1.94,2217.82,organic,2015,Boston,Northeast,winter,2.00,704228.57
2015-01-11,1.54,106221.32,conventional,2015,Buffalo/Rochester,Northeast,winter,2.00,559026.8
2015-01-11,1.59,2078.49,organic,2015,Buffalo/Rochester,Northeast,winter,2.00,577177.02
2015-01-11,0.92,6024932.34,conventional,2015,California,West,winter,1.00,333964.06
2015-01-11,1.1,158110.68,organic,2015,California,West,winter,1.00,399304.86
2015-01-11,1.26,159942.68,conventional,2015,Charlotte,Southeast,winter,1.00,457385.57
2015-01-11,2.29,2390.22,organic,2015,Charlotte,Southeast,winter,2.00,831280.11
2015-01-11,1.15,802874.94,conventional,2015,Chicago,Midwest,winter,1.00,417455.08
2015-01-11,1.79,12915.74,organic,2015,Chicago,Midwest,winter,2.00,649777.91
2015-01-11,0.92,201392.27,conventional,2015,Cincinnati/Dayton,Midwest,winter,1.00,333964.06
2015-01-11,1.32,11313.77,organic,2015,Cincinnati/Dayton,Midwest,winter,1.00,479165.83
2015-01-11,0.97,125742.48,conventional,2015,Columbus,Midwest,winter,1.00,352114.28
2015-01-11,1.68,4193.17,organic,2015,Columbus,Midwest,winter,2.00,609847.42
2015-01-11,0.76,1128693.04,conventional,2015,Dallas/Ft. Worth,South Central,winter,1.00,275883.36
2015-01-11,1.35,12126.63,organic,2015,Dallas/Ft. Worth,South Central,winter,1.00,490055.96
2015-01-11,1.09,666579.35,conventional,2015,Denver,West,winter,1.00,395674.81
2015-01-11,1.28,30682.77,organic,2015,Denver,West,winter,1.00,464645.65
2015-01-11,1.08,332165.05,conventional,2015,Detroit,Midwest,winter,1.00,392044.77
2015-01-11,1.87,6926.75,organic,2015,Detroit,Midwest,winter,2.00,678818.26
2015-01-11,1.03,185135.41,conventional,2015,Grand Rapids,Midwest,winter,1.00,373894.55
2015-01-11,1.87,761.86,organic,2015,Grand Rapids,Midwest,winter,2.00,678818.26
2015-01-11,1.26,178735.25,conventional,2015,Harrisburg/Scranton,Northeast,winter,1.00,457385.57
2015-01-11,1.65,3882.88,organic,2015,Harrisburg/Scranton,Northeast,winter,2.00,598957.29
2015-01-11,1.38,232640.15,conventional,2015,Hartford/Springfield,Northeast,winter,2.00,500946.1
2015-01-11,2.28,3463.61,organic,2015,Hartford/Springfield,Northeast,winter,2.00,827650.07
2015-01-11,0.78,1062071.65,conventional,2015,Houston,South Central,winter,1.00,283143.45
2015-01-11,1.26,7561.0,organic,2015,Houston,South Central,winter,1.00,457385.57
2015-01-11,1.25,138617.04,conventional,2015,Indianapolis,Midwest,winter,1.00,453755.52
2015-01-11,1.83,1410.31,organic,2015,Indianapolis,Midwest,winter,2.00,664298.08
2015-01-11,1.2,99757.17,conventional,2015,Jacksonville,Southeast,winter,1.00,435605.3
2015-01-11,1.91,1248.89,organic,2015,Jacksonville,Southeast,winter,2.00,693338.44
2015-01-11,0.93,274481.48,conventional,2015,Las Vegas,West,winter,1.00,337594.11
2015-01-11,1.54,6144.55,organic,2015,Las Vegas,West,winter,2.00,559026.8
2015-01-11,0.85,2713699.6,conventional,2015,Los Angeles,West,winter,1.00,308553.75
2015-01-11,1.08,60232.63,organic,2015,Los Angeles,West,winter,1.00,392044.77
2015-01-11,1.05,75129.36,conventional,2015,Louisville,Southeast,winter,1.00,381154.64
2015-01-11,1.79,1435.48,organic,2015,Louisville,Southeast,winter,2.00,649777.91
2015-01-11,1.28,342796.99,conventional,2015,Miami/Ft. Lauderdale,Southeast,winter,1.00,464645.65
2015-01-11,1.85,1614.56,organic,2015,Miami/Ft. Lauderdale,Southeast,winter,2.00,671558.17
2015-01-11,1.07,149832.2,conventional,2015,Nashville,Southeast,winter,1.00,388414.73
2015-01-11,1.92,2892.29,organic,2015,Nashville,Southeast,winter,2.00,696968.48
2015-01-11,0.97,239232.35,conventional,2015,New Orleans/Mobile,Southeast,winter,1.00,352114.28
2015-01-11,1.44,1492.44,organic,2015,New Orleans/Mobile,Southeast,winter,2.00,522726.36
2015-01-11,1.34,1018225.83,conventional,2015,New York,Northeast,winter,1.00,486425.92
2015-01-11,2.03,14817.97,organic,2015,New York,Northeast,winter,2.00,736898.97
2015-01-11,1.06,314717.03,conventional,2015,Northern New England,Northeast,winter,1.00,384784.68
2015-01-11,1.88,6485.3,organic,2015,Northern New England,Northeast,winter,2.00,682448.3
2015-01-11,1.29,202034.59,conventional,2015,Orlando,Southeast,winter,1.00,468275.7
2015-01-11,1.92,1610.6,organic,2015,Orlando,Southeast,winter,2.00,696968.48
2015-01-11,1.38,315984.22,conventional,2015,Philadelphia,Mid-Atlantic,winter,2.00,500946.1
2015-01-11,1.63,6715.18,organic,2015,Philadelphia,Mid-Atlantic,winter,2.00,591697.2
2015-01-11,0.61,1110753.05,conventional,2015,Phoenix/Tucson,West,winter,1.00,221432.69
2015-01-11,1.36,14035.18,organic,2015,Phoenix/Tucson,West,winter,1.00,493686.01
2015-01-11,1.54,54644.32,conventional,2015,Pittsburgh,Northeast,winter,2.00,559026.8
2015-01-11,1.82,1663.25,organic,2015,Pittsburgh,Northeast,winter,2.00,660668.04
2015-01-11,1.09,1402841.83,conventional,2015,Plains,Midwest,winter,1.00,395674.81
2015-01-11,1.68,37617.95,organic,2015,Plains,Midwest,winter,2.00,609847.42
2015-01-11,1.05,510152.67,conventional,2015,Portland,West,winter,1.00,381154.64
2015-01-11,1.22,43116.44,organic,2015,Portland,West,winter,1.00,442865.39
2015-01-11,1.24,205760.67,conventional,2015,Raleigh/Greensboro,Southeast,winter,1.00,450125.48
2015-01-11,1.98,3862.72,organic,2015,Raleigh/Greensboro,Southeast,winter,2.00,718748.75
2015-01-11,1.15,194460.59,conventional,2015,Richmond/Norfolk,Mid-Atlantic,winter,1.00,417455.08
2015-01-11,1.66,2914.35,organic,2015,Richmond/Norfolk,Mid-Atlantic,winter,2.00,602587.33
2015-01-11,1.16,113235.82,conventional,2015,Roanoke,Southeast,winter,1.00,421085.12
2015-01-11,1.47,5128.06,organic,2015,Roanoke,Southeast,winter,2.00,533616.49
2015-01-11,1.09,429492.28,conventional,2015,Sacramento,West,winter,1.00,395674.81
2015-01-11,1.27,7598.26,organic,2015,Sacramento,West,winter,1.00,461015.61
2015-01-11,0.82,544667.18,conventional,2015,San Diego,West,winter,1.00,297663.62
2015-01-11,1.05,20089.52,organic,2015,San Diego,West,winter,1.00,381154.64
2015-01-11,1.03,916450.76,conventional,2015,San Francisco,West,winter,1.00,373894.55
2015-01-11,1.12,29676.78,organic,2015,San Francisco,West,winter,1.00,406564.95
2015-01-11,1.06,527350.82,conventional,2015,Seattle,West,winter,1.00,384784.68
2015-01-11,1.46,46687.01,organic,2015,Seattle,West,winter,2.00,529986.45
2015-01-11,1.1,279706.73,conventional,2015,South Carolina,Southeast,winter,1.00,399304.86
2015-01-11,2.06,2304.3,organic,2015,South Carolina,Southeast,winter,2.00,747789.1
2015-01-11,1.07,70697.07,conventional,2015,Spokane,West,winter,1.00,388414.73
2015-01-11,1.38,4780.87,organic,2015,Spokane,West,winter,2.00,500946.1
2015-01-11,1.29,164917.61,conventional,2015,St. Louis,Midwest,winter,1.00,468275.7
2015-01-11,1.84,3762.18,organic,2015,St. Louis,Midwest,winter,2.00,667928.13
2015-01-11,1.45,42017.49,conventional,2015,Syracuse,Northeast,winter,2.00,526356.4
2015-01-11,1.66,762.15,organic,2015,Syracuse,Northeast,winter,2.00,602587.33
2015-01-11,1.24,235231.08,conventional,2015,Tampa,Southeast,winter,1.00,450125.48
2015-01-11,1.84,1258.62,organic,2015,Tampa,Southeast,winter,2.00,667928.13
2015-01-11,0.92,584896.99,conventional,2015,West Tex/New Mexico,West,winter,1.00,333964.06
2015-01-11,1.69,6861.73,organic,2015,West Tex/New Mexico,West,winter,2.00,613477.46
2015-01-18,1.17,44511.28,conventional,2015,Albany,Northeast,winter,1.00,424715.17
2015-01-18,1.93,1118.47,organic,2015,Albany,Northeast,winter,2.00,700598.52
2015-01-18,1.11,431490.99,conventional,2015,Atlanta,Southeast,winter,1.00,402934.9
2015-01-18,1.86,4294.01,organic,2015,Atlanta,Southeast,winter,2.00,675188.22
2015-01-18,1.23,657741.34,conventional,2015,Baltimore/Washington,Mid-Atlantic,winter,1.00,446495.43
2015-01-18,1.41,14057.45,organic,2015,Baltimore/Washington,Mid-Atlantic,winter,2.00,511836.23
2015-01-18,1.08,62870.49,conventional,2015,Boise,West,winter,1.00,392044.77
2015-01-18,1.44,2973.94,organic,2015,Boise,West,winter,2.00,522726.36
2015-01-18,1.23,401331.33,conventional,2015,Boston,Northeast,winter,1.00,446495.43
2015-01-18,2.0,2209.34,organic,2015,Boston,Northeast,winter,2.00,726008.83
2015-01-18,1.52,107040.29,conventional,2015,Buffalo/Rochester,Northeast,winter,2.00,551766.71
2015-01-18,1.64,1426.87,organic,2015,Buffalo/Rochester,Northeast,winter,2.00,595327.24
2015-01-18,1.02,5570915.26,conventional,2015,California,West,winter,1.00,370264.51
2015-01-18,1.24,195207.6,organic,2015,California,West,winter,1.00,450125.48
2015-01-18,1.25,152671.15,conventional,2015,Charlotte,Southeast,winter,1.00,453755.52
2015-01-18,2.15,2697.81,organic,2015,Charlotte,Southeast,winter,2.00,780459.5
2015-01-18,1.14,797741.43,conventional,2015,Chicago,Midwest,winter,1.00,413825.04
2015-01-18,1.81,12499.87,organic,2015,Chicago,Midwest,winter,2.00,657037.99
2015-01-18,0.93,175681.09,conventional,2015,Cincinnati/Dayton,Midwest,winter,1.00,337594.11
2015-01-18,1.37,10051.4,organic,2015,Cincinnati/Dayton,Midwest,winter,1.00,497316.05
2015-01-18,1.02,116450.21,conventional,2015,Columbus,Midwest,winter,1.00,370264.51
2015-01-18,1.84,4027.45,organic,2015,Columbus,Midwest,winter,2.00,667928.13
2015-01-18,0.76,1091677.29,conventional,2015,Dallas/Ft. Worth,South Central,winter,1.00,275883.36
2015-01-18,1.28,12634.71,organic,2015,Dallas/Ft. Worth,South Central,winter,1.00,464645.65
2015-01-18,0.99,808194.41,conventional,2015,Denver,West,winter,1.00,359374.37
2015-01-18,1.1,42234.91,organic,2015,Denver,West,winter,1.00,399304.86
2015-01-18,1.1,291788.43,conventional,2015,Detroit,Midwest,winter,1.00,399304.86
2015-01-18,1.9,7656.72,organic,2015,Detroit,Midwest,winter,2.00,689708.39
2015-01-18,1.07,150201.39,conventional,2015,Grand Rapids,Midwest,winter,1.00,388414.73
2015-01-18,1.88,706.15,organic,2015,Grand Rapids,Midwest,winter,2.00,682448.3
2015-01-18,1.24,182604.68,conventional,2015,Harrisburg/Scranton,Northeast,winter,1.00,450125.48
2015-01-18,1.94,1355.5,organic,2015,Harrisburg/Scranton,Northeast,winter,2.00,704228.57
2015-01-18,1.39,229216.05,conventional,2015,Hartford/Springfield,Northeast,winter,2.00,504576.14
2015-01-18,2.35,2552.09,organic,2015,Hartford/Springfield,Northeast,winter,3.00,853060.38
2015-01-18,0.77,1017854.16,conventional,2015,Houston,South Central,winter,1.00,279513.4
2015-01-18,1.2,9979.64,organic,2015,Houston,South Central,winter,1.00,435605.3
2015-01-18,1.14,149319.82,conventional,2015,Indianapolis,Midwest,winter,1.00,413825.04
2015-01-18,1.96,1083.8,organic,2015,Indianapolis,Midwest,winter,2.00,711488.66
2015-01-18,1.27,99496.16,conventional,2015,Jacksonville,Southeast,winter,1.00,461015.61
2015-01-18,1.82,1403.1,organic,2015,Jacksonville,Southeast,winter,2.00,660668.04
2015-01-18,1.06,233186.09,conventional,2015,Las Vegas,West,winter,1.00,384784.68
2015-01-18,1.63,6032.31,organic,2015,Las Vegas,West,winter,2.00,591697.2
2015-01-18,0.89,2800679.5,conventional,2015,Los Angeles,West,winter,1.00,323073.93
2015-01-18,1.29,43649.12,organic,2015,Los Angeles,West,winter,1.00,468275.7
2015-01-18,1.06,85580.15,conventional,2015,Louisville,Southeast,winter,1.00,384784.68
2015-01-18,1.79,1106.86,organic,2015,Louisville,Southeast,winter,2.00,649777.91
2015-01-18,1.3,405138.19,conventional,2015,Miami/Ft. Lauderdale,Southeast,winter,1.00,471905.74
2015-01-18,1.87,1459.37,organic,2015,Miami/Ft. Lauderdale,Southeast,winter,2.00,678818.26
2015-01-18,1.08,143464.64,conventional,2015,Nashville,Southeast,winter,1.00,392044.77
2015-01-18,1.81,3118.58,organic,2015,Nashville,Southeast,winter,2.00,657037.99
2015-01-18,1.03,267666.12,conventional,2015,New Orleans/Mobile,Southeast,winter,1.00,373894.55
2015-01-18,0.98,4739.17,organic,2015,New Orleans/Mobile,Southeast,winter,1.00,355744.33
2015-01-18,1.37,1044280.56,conventional,2015,New York,Northeast,winter,1.00,497316.05
2015-01-18,2.08,9204.78,organic,2015,New York,Northeast,winter,2.00,755049.19
2015-01-18,1.12,309202.71,conventional,2015,Northern New England,Northeast,winter,1.00,406564.95
2015-01-18,1.88,7618.91,organic,2015,Northern New England,Northeast,winter,2.00,682448.3
2015-01-18,1.33,191078.37,conventional,2015,Orlando,Southeast,winter,1.00,482795.87
2015-01-18,1.79,2151.76,organic,2015,Orlando,Southeast,winter,2.00,649777.91
2015-01-18,1.4,331495.41,conventional,2015,Philadelphia,Mid-Atlantic,winter,2.00,508206.18
2015-01-18,1.93,1699.0,organic,2015,Philadelphia,Mid-Atlantic,winter,2.00,700598.52
2015-01-18,0.67,1088608.66,conventional,2015,Phoenix/Tucson,West,winter,1.00,243212.96
2015-01-18,1.36,12251.87,organic,2015,Phoenix/Tucson,West,winter,1.00,493686.01
2015-01-18,1.47,59312.07,conventional,2015,Pittsburgh,Northeast,winter,2.00,533616.49
2015-01-18,1.55,3448.42,organic,2015,Pittsburgh,Northeast,winter,2.00,562656.85
2015-01-18,1.02,1674945.55,conventional,2015,Plains,Midwest,winter,1.00,370264.51
2015-01-18,1.8,29669.53,organic,2015,Plains,Midwest,winter,2.00,653407.95
2015-01-18,1.11,439617.61,conventional,2015,Portland,West,winter,1.00,402934.9
2015-01-18,1.24,51904.44,organic,2015,Portland,West,winter,1.00,450125.48
2015-01-18,1.22,204504.99,conventional,2015,Raleigh/Greensboro,Southeast,winter,1.00,442865.39
2015-01-18,1.97,3496.27,organic,2015,Raleigh/Greensboro,Southeast,winter,2.00,715118.7
2015-01-18,1.18,179038.39,conventional,2015,Richmond/Norfolk,Mid-Atlantic,winter,1.00,428345.21
2015-01-18,1.62,3480.66,organic,2015,Richmond/Norfolk,Mid-Atlantic,winter,2.00,588067.16
2015-01-18,1.18,112106.05,conventional,2015,Roanoke,Southeast,winter,1.00,428345.21
2015-01-18,1.48,5621.32,organic,2015,Roanoke,Southeast,winter,2.00,537246.54
2015-01-18,1.22,367047.36,conventional,2015,Sacramento,West,winter,1.00,442865.39
2015-01-18,1.13,37233.34,organic,2015,Sacramento,West,winter,1.00,410194.99
2015-01-18,1.01,461063.73,conventional,2015,San Diego,West,winter,1.00,366634.46
2015-01-18,1.29,14473.73,organic,2015,San Diego,West,winter,1.00,468275.7
2015-01-18,1.22,753746.51,conventional,2015,San Francisco,West,winter,1.00,442865.39
2015-01-18,1.27,41482.48,organic,2015,San Francisco,West,winter,1.00,461015.61
2015-01-18,1.2,463472.52,conventional,2015,Seattle,West,winter,1.00,435605.3
2015-01-18,1.45,44616.23,organic,2015,Seattle,West,winter,2.00,526356.4
2015-01-18,1.15,276205.95,conventional,2015,South Carolina,Southeast,winter,1.00,417455.08
2015-01-18,1.93,3024.32,organic,2015,South Carolina,Southeast,winter,2.00,700598.52
2015-01-18,1.18,69600.14,conventional,2015,Spokane,West,winter,1.00,428345.21
2015-01-18,1.44,4363.13,organic,2015,Spokane,West,winter,2.00,522726.36
2015-01-18,1.28,170590.85,conventional,2015,St. Louis,Midwest,winter,1.00,464645.65
2015-01-18,1.92,2923.4,organic,2015,St. Louis,Midwest,winter,2.00,696968.48
2015-01-18,1.4,40391.55,conventional,2015,Syracuse,Northeast,winter,2.00,508206.18
2015-01-18,1.84,627.8,organic,2015,Syracuse,Northeast,winter,2.00,667928.13
2015-01-18,1.27,228920.62,conventional,2015,Tampa,Southeast,winter,1.00,461015.61
2015-01-18,1.73,1751.2,organic,2015,Tampa,Southeast,winter,2.00,627997.64
2015-01-18,0.8,729795.72,conventional,2015,West Tex/New Mexico,West,winter,1.00,290403.53
2015-01-18,1.71,5508.2,organic,2015,West Tex/New Mexico,West,winter,2.00,620737.55
2015-01-25,1.06,45147.5,conventional,2015,Albany,Northeast,winter,1.00,384784.68
2015-01-25,1.89,1115.89,organic,2015,Albany,Northeast,winter,2.00,686078.35
2015-01-25,1.1,449332.85,conventional,2015,Atlanta,Southeast,winter,1.00,399304.86
2015-01-25,1.87,3047.38,organic,2015,Atlanta,Southeast,winter,2.00,678818.26
2015-01-25,1.2,692934.46,conventional,2015,Baltimore/Washington,Mid-Atlantic,winter,1.00,435605.3
2015-01-25,1.41,15387.74,organic,2015,Baltimore/Washington,Mid-Atlantic,winter,2.00,511836.23
2015-01-25,1.03,66069.21,conventional,2015,Boise,West,winter,1.00,373894.55
2015-01-25,1.82,1174.53,organic,2015,Boise,West,winter,2.00,660668.04
2015-01-25,1.17,409343.56,conventional,2015,Boston,Northeast,winter,1.00,424715.17
2015-01-25,2.01,1948.28,organic,2015,Boston,Northeast,winter,2.00,729638.88
2015-01-25,1.5,114052.94,conventional,2015,Buffalo/Rochester,Northeast,winter,2.00,544506.63
2015-01-25,1.6,1480.91,organic,2015,Buffalo/Rochester,Northeast,winter,2.00,580807.07
2015-01-25,1.06,4929884.26,conventional,2015,California,West,winter,1.00,384784.68
2015-01-25,1.3,121698.02,organic,2015,California,West,winter,1.00,471905.74
2015-01-25,1.18,167270.13,conventional,2015,Charlotte,Southeast,winter,1.00,428345.21
2015-01-25,2.29,2694.11,organic,2015,Charlotte,Southeast,winter,2.00,831280.11
2015-01-25,1.22,745439.17,conventional,2015,Chicago,Midwest,winter,1.00,442865.39
2015-01-25,1.83,10951.51,organic,2015,Chicago,Midwest,winter,2.00,664298.08
2015-01-25,0.93,213554.45,conventional,2015,Cincinnati/Dayton,Midwest,winter,1.00,337594.11
2015-01-25,1.26,10191.82,organic,2015,Cincinnati/Dayton,Midwest,winter,1.00,457385.57
2015-01-25,1.08,116995.68,conventional,2015,Columbus,Midwest,winter,1.00,392044.77
